count,Film and Animation,Cars and Vehicles,Music,Pets and Animals,Sport,Travel and Events,Gaming,People and Blogs,Comedy,Entertainment,News and Politics,How to and Style,Education,Science and Technology,Non Profits and Activism,ALL
1,25.0,0.0,11.0,0.0,15.0,0.0,0.0,11.0,39.0,15.0,0.0,0.0,22.0,14.0,0.0,152.0
2,14.0,9.0,38.0,27.0,5.0,0.0,22.0,58.0,42.0,92.0,0.0,27.0,17.0,106.0,0.0,457.0
3,106.0,0.0,102.0,55.0,68.0,9.0,57.0,178.0,254.0,243.0,7.0,99.0,63.0,140.0,0.0,1381.0
4,188.0,24.0,342.0,75.0,46.0,40.0,63.0,290.0,328.0,417.0,22.0,224.0,106.0,225.0,8.0,2398.0
5,247.0,30.0,707.0,103.0,63.0,19.0,95.0,432.0,429.0,808.0,138.0,251.0,164.0,379.0,0.0,3865.0
6,255.0,42.0,897.0,89.0,175.0,31.0,100.0,337.0,432.0,912.0,250.0,423.0,226.0,392.0,13.0,4574.0
7,192.0,35.0,890.0,123.0,178.0,42.0,81.0,499.0,441.0,858.0,288.0,450.0,265.0,329.0,11.0,4682.0
8,286.0,45.0,900.0,93.0,134.0,28.0,85.0,328.0,365.0,1267.0,312.0,495.0,236.0,197.0,5.0,4776.0
9,276.0,74.0,842.0,75.0,272.0,54.0,61.0,304.0,287.0,1012.0,267.0,561.0,203.0,185.0,3.0,4476.0
10,266.0,31.0,492.0,35.0,236.0,38.0,66.0,247.0,214.0,1038.0,320.0,468.0,108.0,145.0,8.0,3742.0
11,149.0,14.0,343.0,42.0,206.0,9.0,86.0,165.0,226.0,853.0,263.0,259.0,55.0,67.0,3.0,2751.0
12,64.0,7.0,278.0,51.0,177.0,26.0,40.0,79.0,120.0,604.0,201.0,222.0,70.0,76.0,6.0,2037.0
13,105.0,28.0,219.0,43.0,77.0,23.0,36.0,71.0,63.0,512.0,125.0,259.0,56.0,72.0,0.0,1689.0
14,75.0,16.0,146.0,20.0,123.0,14.0,12.0,70.0,52.0,460.0,59.0,119.0,49.0,19.0,0.0,1234.0
15,48.0,15.0,142.0,66.0,114.0,6.0,3.0,65.0,83.0,322.0,68.0,95.0,5.0,13.0,0.0,1045.0
16,28.0,4.0,93.0,7.0,79.0,26.0,0.0,34.0,15.0,293.0,64.0,60.0,0.0,31.0,0.0,734.0
17,7.0,0.0,7.0,16.0,74.0,25.0,0.0,23.0,7.0,110.0,47.0,60.0,0.0,6.0,0.0,382.0
18,0.0,0.0,3.0,0.0,90.0,6.0,10.0,0.0,13.0,112.0,48.0,14.0,5.0,5.0,0.0,306.0
19,0.0,10.0,20.0,0.0,34.0,6.0,0.0,11.0,14.0,31.0,8.0,20.0,6.0,0.0,0.0,160.0
20,14.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,33.0,0.0,0.0,26.0,0.0,0.0,0.0,86.0
21,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,17.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
